order_index,arm,seed,selected_epoch,repetition,median_ms,q1_ms,q3_ms,iqr_ms,node,gpu_model,precision,slurm_job_id
38,M_T1,43,22,10,8.996882475912571,8.992561139166355,9.000607300549746,0.008046161383390427,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
39,M_T0,43,22,10,8.738880977034569,8.734659757465124,8.745518047362566,0.010858289897441864,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
40,M_T1,44,20,1,8.993792347609997,8.990330155938864,8.99842381477356,0.008093658834695816,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
41,M_T0,44,20,1,8.752685505896807,8.746003732085228,8.7593796197325,0.013375887647271156,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
42,M_T1,44,20,2,8.992140647023916,8.98656900972128,8.995687821879983,0.009118812158703804,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
43,M_T0,44,20,2,8.752805646508932,8.747845888137817,8.757362375035882,0.009516486898064613,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
44,M_T0,44,20,3,8.753235451877117,8.749047061428428,8.758667623624206,0.009620562195777893,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
45,M_T1,44,20,3,8.992912247776985,8.988769026473165,8.997870609164238,0.009101582691073418,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
46,M_T0,44,20,4,8.751097600907087,8.746794424951077,8.75689391978085,0.010099494829773903,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
47,M_T1,44,20,4,8.994122967123985,8.988786255940795,8.999134879559278,0.010348623618483543,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
48,M_T1,44,20,5,8.99334717541933,8.988846559077501,8.99764010682702,0.008793547749519348,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
49,M_T0,44,20,5,8.752970490604639,8.747622836381197,8.759069256484509,0.011446420103311539,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
50,M_T1,44,20,6,8.988870773464441,8.983258390799165,8.99424054659903,0.010982155799865723,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
51,M_T0,44,20,6,8.752865716814995,8.748136460781097,8.759325370192528,0.011188909411430359,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
52,M_T1,44,20,7,8.988520130515099,8.984942920506,8.997330674901605,0.012387754395604134,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
53,M_T0,44,20,7,8.754403330385685,8.749439613893628,8.761387318372726,0.01194770447909832,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
54,M_T0,44,20,8,8.752796333283186,8.74788616783917,8.758470648899674,0.010584481060504913,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
55,M_T1,44,20,8,8.993467781692743,8.989541791379452,8.999124402180314,0.009582610800862312,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
56,M_T0,44,20,9,8.752059657126665,8.744926657527685,8.758638752624393,0.013712095096707344,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
57,M_T1,44,20,9,8.99591576308012,8.989111986011267,9.001415921375155,0.01230393536388874,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
58,M_T1,44,20,10,8.993601892143488,8.989084511995316,8.998520206660032,0.00943569466471672,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
59,M_T0,44,20,10,8.753637317568064,8.747998857870698,8.758112788200378,0.010113930329680443,aisurrey38.surrey.ac.uk,NVIDIA RTX PRO 6000 Blackwell Server Edition,native_bf16,2288035
