config_id,vision_encoder,text_encoder,variant,multitask_performance_score,headline_metrics,metric__cifar100_zeroshot__top1_accuracy,metric__coco_retrieval__coco5_i2t_R@1,metric__coco_retrieval__coco5_t2i_R@1,metric__eurosat_zeroshot__top1_accuracy,metric__pets_zeroshot__top1_accuracy,retrieval_unique_wins,retrieval_error_diversity,classification_unique_wins,classification_error_diversity,oracle_contribution,cross_task_specialisation,cost_adjusted_task_score,comparison,seed_variant,seed_runs,seed_values,mean_metric,standard_deviation,confidence_interval_low,confidence_interval_high,matched_delta_mean,matched_delta_ci_low,matched_delta_ci_high,win_count,tie_count,loss_count,reliability_status,seed_reliability_score,criterion_minimum_effect,criterion_minimum_runs,criterion_minimum_wins,latency_ms,peak_allocated_bytes,parameters,flops_per_batch,device_name,checkpoint,unique_win_contribution,error_diversity,vision_architecture_family,text_architecture_family,token_interface_readiness,multitask_performance_component,unique_wins_component,oracle_contribution_component,cross_task_specialisation_component,latency_efficiency_component,memory_efficiency_component,architectural_diversity_component,token_interface_readiness_component,selection_score,performance_score,efficiency_score
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,0.4521739130434783,5,0.1903000026941299,0.125,0.1043815463781356,0.1943209916353225,0.0557065233588218,0.08421818181818182,0.8238087528011715,0.07948132045088563,0.7640108911188616,0.008020119878332333,0.0919447014057529,0.5284582252552763,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.913436017930508,387541504.0,62259195,76302712832.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_e5_small_v2_baseline/best.pt,0.08184975113453372,0.7939098219600165,hierarchical_vit,e5_embedding_model,True,0.391304347826087,0.34782608695652173,0.9130434782608695,0.5217391304347826,0.4402173913043478,0.391304347826087,0.8478260869565217,1.0,0.5156521739130435,0.4521739130434783,0.421875
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,0.6521739130434783,5,0.2849000096321106,0.1705999970436096,0.1453985720872879,0.1683950573205948,0.0611413046717643,0.11797272727272728,0.8018329678049677,0.09131696107613979,0.7406693227467354,0.005526856324923867,0.0677897787071079,0.6299979537143645,,,0,,,,,,,,,,,,not_tested,0.25,,,,7.1768637746572495,410832384.0,62606337,75055591424.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_bge_small_en_baseline/best.pt,0.10464484417443354,0.7712511452758515,convnext_cnn,bge_embedding_model,True,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.30434782608695654,0.40217391304347827,0.2391304347826087,0.21739130434782608,1.0,0.5042391304347826,0.6521739130434783,0.3410326086956522
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,0.3652173913043478,5,0.2457000017166137,0.1324000060558319,0.110458143055439,0.1802469193935394,0.0380434766411781,0.09475454545454545,0.8462365916832962,0.08551126197563393,0.7796248906176839,0.0112398371801753,0.1104418749027605,0.4962581701221837,,,0,,,,,,,,,,,,not_tested,0.25,,,,7.655073050409555,419219456.0,89799297,105491136512.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/dinov2_vits14_distilbert_baseline/best.pt,0.0901329037150897,0.81293074115049,plain_vit,masked_language_model,True,0.34782608695652173,0.4782608695652174,1.0,0.6956521739130435,0.16304347826086957,0.17391304347826086,0.5434782608695652,1.0,0.5031521739130436,0.3652173913043478,0.1671195652173913
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,0.30869565217391304,5,0.1811999976634979,0.1077999994158744,0.0901095420122146,0.1728395074605941,0.0584239140152931,0.07366363636363636,0.8447185890347403,0.070840169000797,0.7549899597602745,0.005406915369475701,0.1058495373359111,0.5893724771085901,,,0,,,,,,,,,,,,not_tested,0.25,,,,4.756009951233864,267148800.0,39009533,9936129536.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_bge_small_en_baseline/best.pt,0.07225190268221668,0.7998542743975074,efficient_cnn,bge_embedding_model,True,0.2608695652173913,0.21739130434782608,0.5217391304347826,0.6521739130434783,0.9076086956521738,0.8260869565217391,0.8478260869565217,1.0,0.4984782608695652,0.30869565217391304,0.8770380434782608
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,0.4782608695652174,5,0.1977999955415725,0.1342000067234039,0.1116574704647064,0.1797530800104141,0.0625,0.09115454545454545,0.819717281897317,0.08065996153157985,0.7622929087081342,0.0064237162283055,0.0741515751572995,0.5350677801759804,,,0,,,,,,,,,,,,not_tested,0.25,,,,7.303331606090069,387738112.0,62259195,75616157696.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_bge_small_en_baseline/best.pt,0.08590725349306265,0.7910050953027256,hierarchical_vit,bge_embedding_model,True,0.4782608695652174,0.391304347826087,0.6956521739130435,0.34782608695652173,0.40760869565217395,0.34782608695652173,0.8478260869565217,1.0,0.4897826086956522,0.4782608695652174,0.3851902173913043
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,0.4608695652173913,5,0.2099000066518783,0.1449999958276748,0.1252898424863815,0.1365432143211364,0.0652173906564712,0.09936363636363636,0.8151848671987956,0.07375577310951703,0.7707933234773566,0.0038384952585434665,0.0905729464608475,0.5920954418440507,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.041481997817755,344954368.0,51612411,73738674176.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_all_minilm_l6_v2_baseline/best.pt,0.0865597047365767,0.792989095338076,hierarchical_vit,minilm_sentence_transformer,True,0.43478260869565216,0.43478260869565216,0.17391304347826086,0.4782608695652174,0.75,0.6086956521739131,0.8478260869565217,1.0,0.48402173913043484,0.4608695652173913,0.6970108695652174
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,0.6260869565217391,5,0.2851000130176544,0.1570000052452087,0.130606859922409,0.2037037014961242,0.0421195663511753,0.108,0.8087217367502176,0.0912214182891719,0.7239183989565788,0.0037800590445517,0.1328432919762524,0.5930720997946006,,,0,,,,,,,,,,,,not_tested,0.25,,,,7.147457636892796,410832384.0,62606337,75742146560.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_e5_small_v2_baseline/best.pt,0.09961070914458595,0.7663200678533982,convnext_cnn,e5_embedding_model,True,0.5652173913043478,0.5217391304347826,0.13043478260869565,0.8260869565217391,0.391304347826087,0.2391304347826087,0.21739130434782608,1.0,0.4779347826086956,0.6260869565217391,0.3342391304347826
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,0.25652173913043474,5,0.1878000050783157,0.1164000034332275,0.098424881696701,0.1439506113529205,0.0461956523358821,0.08179090909090908,0.8488349179421438,0.06529677532165452,0.7782311110885215,0.0053167561281087,0.0170225875269028,0.5972809117751156,,,0,,,,,,,,,,,,not_tested,0.25,,,,4.143067821860313,224102912.0,28362749,8058646016.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_all_minilm_l6_v2_baseline/best.pt,0.0735438422062818,0.8135330145153327,efficient_cnn,minilm_sentence_transformer,True,0.21739130434782608,0.2608695652173913,0.43478260869565216,0.043478260869565216,0.9782608695652174,1.0,0.8478260869565217,1.0,0.42815217391304344,0.25652173913043474,0.9864130434782609
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,0.2,5,0.1777999997138977,0.0997999981045723,0.0812345072627067,0.185679018497467,0.03125,0.06864545454545455,0.8549441881698837,0.06632354218513635,0.7636874793757934,0.003442610484880933,0.1402984406144499,0.522269537421072,,,0,,,,,,,,,,,,not_tested,0.25,,,,4.609422665089369,266165760.0,39009533,10622684672.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_e5_small_v2_baseline/best.pt,0.06748449836529545,0.8093158337728386,efficient_cnn,e5_embedding_model,True,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.8695652173913043,0.9184782608695652,0.8695652173913043,0.8478260869565217,1.0,0.4243478260869565,0.2,0.9001358695652174
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,0.16521739130434782,5,0.1685999929904937,0.068400003015995,0.0594067312777042,0.1864197552204132,0.0217391308397054,0.04625454545454546,0.8855210738119891,0.06258763114234125,0.7693724991595366,0.0031444802290212337,0.1986834430956337,0.483980199734343,,,0,,,,,,,,,,,,not_tested,0.25,,,,3.805492166429758,399502336.0,72209021,13674040832.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/efficientnet_b0_distilbert_baseline/best.pt,0.05442108829844336,0.8274467864857629,efficient_cnn,masked_language_model,True,0.08695652173913043,0.043478260869565216,0.043478260869565216,1.0,0.7717391304347826,0.30434782608695654,0.8478260869565217,1.0,0.3601086956521739,0.16521739130434782,0.5964673913043479
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,0.3173913043478261,5,0.2345000058412552,0.1198000013828277,0.1017030477523803,0.1518518477678299,0.0461956523358821,0.0835,0.8441286867255989,0.07356215455684051,0.7534710919139036,0.005136697083556934,0.0632060326241996,0.5491798578953535,,,0,,,,,,,,,,,,not_tested,0.25,,,,5.651045590639114,504179712.0,95759457,78793502720.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,0.07853107727842026,0.7987998893197512,convnext_cnn,masked_language_model,True,0.30434782608695654,0.30434782608695654,0.391304347826087,0.2608695652173913,0.5054347826086957,0.13043478260869565,0.21739130434782608,1.0,0.34673913043478266,0.3173913043478261,0.3648097826086957
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,0.23478260869565215,5,0.2486000061035156,0.1129999980330467,0.1056208536028862,0.1202469170093536,0.0285326093435287,0.0762090909090909,0.836545119195398,0.060275408676133284,0.7500545839844879,0.004915333691179033,0.1462907601549355,0.4612828846735249,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.440119817852974,544365568.0,95805825,78793502720.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnextv2_tiny_distilbert_baseline/best.pt,0.06824224979261209,0.793299851589943,convnext_cnn,masked_language_model,True,0.17391304347826086,0.17391304347826086,0.2608695652173913,0.9130434782608695,0.38586956521739124,0.043478260869565216,0.21739130434782608,1.0,0.33608695652173914,0.23478260869565215,0.2574728260869565
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,0.12173913043478261,5,0.1668999940156936,0.101000003516674,0.0852722451090812,0.1246913596987724,0.0407608710229396,0.07005454545454545,0.8574546711113714,0.06027975121586229,0.8092476016966174,0.007381705135086666,0.017384509861259,0.4268563045331168,,,0,,,,,,,,,,,,not_tested,0.25,,,,6.201211363077164,521992192.0,95458683,79354068992.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/swin_tiny_distilbert_baseline/best.pt,0.06516714833520387,0.8333511364039944,hierarchical_vit,masked_language_model,True,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.08695652173913043,0.45652173913043476,0.08695652173913043,0.8478260869565217,1.0,0.3042391304347826,0.12173913043478261,0.3179347826086956
