status,source,kind,experiment_id,run_id,seed,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,mean_R@1,image_query_latency_ms,text_query_latency_ms,bidirectional_pair_latency_ms,peak_inference_memory_bytes,params_total_training,params_total_inference,params_trainable_training,params_trainable_inference,params_training_only,gpu,checkpoint,fingerprint_digest,reused_lr_calibration_run_id,reused_without_retraining,training_code_version,evaluation_code_version,resolved_lr,sqrt_scale_factor,sweep_multiplier,memory_queue_size,historical_slurm_array_job,historical_slurm_array_index,evaluation_only
COMPLETE,measured_local,wave0-screen,sigmoid__captions_2__b512,sigmoid__captions_2__b512__seed_42,42,0.41280001401901245,0.7110000252723694,0.819599986076355,8.76099967956543,2.0,0.3001079559326172,0.5976570248603821,0.7270801067352295,18.825956344604492,4.0,5000.0,25011.0,0.3564539849758148,2.720630206167698,1.110296193510294,3.830926399677992,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-lrsweep/sigmoid__captions_2__b512__lr_3p0__seed_42/best.pt,2aff21f38595a1976cf4cad0e4d5ec35075139030a360a8b2613e3b91a76c65b,sigmoid__captions_2__b512__lr_3p0__seed_42,True,,,,,,,,,
COMPLETE,measured_local,wave0-screen,sigmoid__captions_all__b1024,sigmoid__captions_all__b1024__seed_42,42,0.42739999294281006,0.7218000292778015,0.8321999907493591,8.44379997253418,2.0,0.3047059178352356,0.6071728467941284,0.7289992570877075,18.738794326782227,3.0,5000.0,25011.0,0.3660529553890228,2.7260186802595854,1.1681043170392513,3.8941229972988367,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/sigmoid__captions_all__b1024__seed_42/best.pt,b918f9f456d329637b4b1babf91323a21be4c35a822d86ac27769341dba8dbcb,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,sigmoid__captions_all__b2048,sigmoid__captions_all__b2048__seed_42,42,0.4228000044822693,0.7146000266075134,0.8220000267028809,9.029399871826172,2.0,0.30142736434936523,0.5954180359840393,0.7195234298706055,19.43756675720215,4.0,5000.0,25011.0,0.36211368441581726,2.7084023877978325,1.169496439397335,3.8778988271951675,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/sigmoid__captions_all__b2048__seed_42/best.pt,3a3da559f6961384f1e1a12de1c05466fea8be5d80f333cd303dbbac22896abb,,,,,,,,,,,
COMPLETE,measured_local,wave0-screen,sigmoid__captions_all__b512,sigmoid__captions_all__b512__seed_42,42,0.41260001063346863,0.7203999757766724,0.8313999772071838,8.683799743652344,2.0,0.30498579144477844,0.604733943939209,0.729878842830658,18.699491500854492,3.0,5000.0,25011.0,0.35879290103912354,2.724354974925518,1.1400540359318256,3.8644090108573437,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-screen/sigmoid__captions_all__b512__seed_42/best.pt,9f70c792d373f49c4da3f4aa6c315a332406395f04fdcced4ab37eeb9b3bc071,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_2__b2048,sigmoid__captions_2__b2048__seed_43,43,0.4138000011444092,0.7080000042915344,0.8194000124931335,8.990400314331055,2.0,0.2983887195587158,0.5931789875030518,0.7204830050468445,19.585302352905273,4.0,5000.0,25011.0,0.3560943603515625,2.7046440355479717,1.1538283061236143,3.858472341671586,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_2__b2048__seed_43/best.pt,6b19412c778b34289fdf113289858880b9ab1d503fbc1ef329f8e39c00450657,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_2__b2048,sigmoid__captions_2__b2048__seed_44,44,0.4205999970436096,0.7113999724388123,0.8202000260353088,9.280599594116211,2.0,0.29323098063468933,0.5933389067649841,0.7174443006515503,19.737476348876953,4.0,5000.0,25011.0,0.3569154888391495,2.717761918902397,1.158746788278222,3.8765087071806192,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_2__b2048__seed_44/best.pt,72e9e30fa2626926c7954540b692d60fcd761a07e80115f3b900ef9a6e0c085d,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_all__b1024,sigmoid__captions_all__b1024__seed_43,43,0.4230000078678131,0.7215999960899353,0.8335999846458435,8.300000190734863,2.0,0.30538561940193176,0.6070928573608398,0.7292391061782837,18.95326042175293,3.0,5000.0,25011.0,0.36419281363487244,2.832208229228854,1.273226449266076,4.10543467849493,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_all__b1024__seed_43/best.pt,d92f298e9c913945c3199ae658d686365da5e3c707f4481bfae959ad66afbac9,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_all__b1024,sigmoid__captions_all__b1024__seed_44,44,0.4253999888896942,0.7282000184059143,0.8396000266075134,8.600799560546875,2.0,0.3055455684661865,0.6043341159820557,0.7281596064567566,18.662588119506836,3.0,5000.0,25011.0,0.36547277867794037,2.8072598297148943,1.2833997793495655,4.09065960906446,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_all__b1024__seed_44/best.pt,a353a08bb700cabf0420d29de546ddf7e4d2167b2a6c88521b0dea112d54f835,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_all__b2048,sigmoid__captions_all__b2048__seed_43,43,0.41940000653266907,0.7113999724388123,0.8216000199317932,8.914799690246582,2.0,0.3026668131351471,0.597177267074585,0.7239614725112915,19.5172119140625,3.0,5000.0,25011.0,0.3610334098339081,2.778021013364196,1.2506253737956285,4.028646387159824,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_all__b2048__seed_43/best.pt,41454e773ec5a1d25179bcdb9746226da6655722b4fa95c655661d8eff4a2cbb,,,,,,,,,,,
COMPLETE,measured_local,wave0-select,sigmoid__captions_all__b2048,sigmoid__captions_all__b2048__seed_44,44,0.4244000017642975,0.722000002861023,0.8266000151634216,8.883399963378906,2.0,0.30070769786834717,0.5976170301437378,0.722681999206543,19.21062660217285,3.0,5000.0,25011.0,0.3625538498163223,2.7815293427556753,1.2591010704636574,4.040630413219333,197219328.0,45778565,45778565,1478405,1478405,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,checkpoints/alignment_v4_wave0/wave0-select/sigmoid__captions_all__b2048__seed_44/best.pt,2b7dece4af11d03d7dac734ace3c9a2f7a4e94ceb9795294a7d607938671aa10,,,,,,,,,,,
