vision_encoder,text_encoder,vision_setup,fusion_type,use_local_blf,use_global_blf,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,params_total,params_trainable
swin_tiny,minilm_l6,swin_tiny global,concat_mlp,False,True,0.8017334338230423,0.08760000020265579,0.28060001134872437,0.40639999508857727,0.10719999670982361,0.30059999227523804,0.428600013256073,53.355201721191406,17.0,49.8380012512207,14.0,51714715.0,1482145.0
swin_tiny,distilbert,swin_tiny global,concat_mlp,False,True,1.1761944437328773,0.04619999974966049,0.14820000529289246,0.23739999532699585,0.050200000405311584,0.16920000314712524,0.266400009393692,92.3145980834961,34.0,83.09380340576172,30.0,95560987.0,1678753.0
efficientnet_b0,bge_small_en,efficientnet_b0 global,concat_mlp,False,True,1.121601731716832,0.05220000073313713,0.16120000183582306,0.25699999928474426,0.05979999899864197,0.19179999828338623,0.30799999833106995,105.46900177001953,32.0,70.92259979248047,24.0,39111837.0,1744289.0
efficientnet_b0,e5_small_v2,efficientnet_b0 global,concat_mlp,False,True,1.2525467940523654,0.03799999877810478,0.13619999587535858,0.2231999933719635,0.04899999871850014,0.1589999943971634,0.257999986410141,124.54419708251953,40.0,85.48159790039062,32.0,39111837.0,1744289.0
efficientnet_b0,all_minilm_l6_v2,efficientnet_b0 global,concat_mlp,False,True,0.9723943351190302,0.061799999326467514,0.20499999821186066,0.31540000438690186,0.07940000295639038,0.23999999463558197,0.3653999865055084,78.11799621582031,24.0,61.434200286865234,19.0,28465053.0,1744289.0
convnext_tiny,bge_small_en,convnext_tiny global,concat_mlp,False,True,0.747845893041997,0.09220000356435776,0.26820001006126404,0.4047999978065491,0.09920000284910202,0.29260000586509705,0.421999990940094,46.4724006652832,16.0,46.77299880981445,14.0,62662273.0,1482145.0
convnext_tiny,e5_small_v2,convnext_tiny global,concat_mlp,False,True,0.8181109758494776,0.08100000023841858,0.25119999051094055,0.387800008058548,0.08739999681711197,0.2409999966621399,0.3619999885559082,47.245601654052734,17.0,56.89860153198242,19.0,62662273.0,1482145.0
convnext_tiny,all_minilm_l6_v2,convnext_tiny global,concat_mlp,False,True,0.6999464629194404,0.10440000146627426,0.2978000044822693,0.43560001254081726,0.1234000027179718,0.3352000117301941,0.4722000062465668,44.3390007019043,14.0,42.45640182495117,12.0,52015489.0,1482145.0
convnextv2_tiny,bge_small_en,convnextv2_tiny local+global,concat_mlp,True,True,0.6420749866321117,0.12780000269412994,0.34220001101493835,0.47780001163482666,0.1324000060558319,0.3562000095844269,0.49160000681877136,38.986000061035156,11.0,38.80379867553711,11.0,62782209.0,1555713.0
convnextv2_tiny,e5_small_v2,convnextv2_tiny local+global,concat_mlp,True,True,0.6343545797693578,0.12460000067949295,0.34360000491142273,0.48240000009536743,0.1324000060558319,0.3495999872684479,0.4918000102043152,37.76499938964844,11.0,38.9286003112793,11.0,62782209.0,1555713.0
convnextv2_tiny,all_minilm_l6_v2,convnextv2_tiny local+global,concat_mlp,True,True,0.5858548181720927,0.14380000531673431,0.3718000054359436,0.5153999924659729,0.15060000121593475,0.3919999897480011,0.5270000100135803,35.519798278808594,10.0,36.1531982421875,9.0,52135425.0,1555713.0
convnextv2_tiny,minilm_l6,convnextv2_tiny local+global,concat_mlp,True,True,0.5858548181720927,0.14380000531673431,0.3718000054359436,0.5153999924659729,0.15060000121593475,0.3919999897480011,0.5270000100135803,35.519798278808594,10.0,36.1531982421875,9.0,52135425.0,1555713.0
dinov2_vits14,bge_small_en,dinov2_vits14 local+global,concat_mlp,True,True,0.6114492079691042,0.13420000672340393,0.365200012922287,0.5016000270843506,0.14239999651908875,0.3741999864578247,0.5121999979019165,36.9286003112793,10.0,35.084800720214844,10.0,56775681.0,1359105.0
convnextv2_tiny,distilbert,convnextv2_tiny local+global,concat_mlp,True,True,0.761928173277197,0.09239999949932098,0.26919999718666077,0.40799999237060547,0.10140000283718109,0.2831999957561493,0.4196000099182129,48.13140106201172,16.0,49.379600524902344,15.0,95981697.0,1752321.0
dinov2_vits14,e5_small_v2,dinov2_vits14 local+global,concat_mlp,True,True,0.6203577954180634,0.13120000064373016,0.3628000020980835,0.4973999857902527,0.1387999951839447,0.36820000410079956,0.5103999972343445,37.19260025024414,11.0,36.21580123901367,10.0,56775681.0,1359105.0
dinov2_vits14,all_minilm_l6_v2,dinov2_vits14 local+global,concat_mlp,True,True,0.5678642237488227,0.1477999985218048,0.3808000087738037,0.5284000039100647,0.1597999930381775,0.399399995803833,0.5406000018119812,35.52220153808594,9.0,34.447200775146484,9.0,46128897.0,1359105.0
dinov2_vits14,minilm_l6,dinov2_vits14 local+global,concat_mlp,True,True,0.5678642237488227,0.1477999985218048,0.3808000087738037,0.5284000039100647,0.1597999930381775,0.399399995803833,0.5406000018119812,35.52220153808594,9.0,34.447200775146484,9.0,46128897.0,1359105.0
dinov2_vits14,distilbert,dinov2_vits14 local+global,concat_mlp,True,True,0.7273275003403048,0.10620000213384628,0.3003999888896942,0.4375999867916107,0.11559999734163284,0.3188000023365021,0.4521999955177307,47.58300018310547,14.0,45.74100112915039,13.0,89975169.0,1555713.0
swin_tiny,bge_small_en,swin_tiny local+global,concat_mlp,True,True,0.7199593432530572,0.10740000009536743,0.3009999990463257,0.43720000982284546,0.12020000070333481,0.3208000063896179,0.453000009059906,46.12459945678711,14.0,43.35960006713867,13.0,62435067.0,1555713.0
swin_tiny,e5_small_v2,swin_tiny local+global,concat_mlp,True,True,0.750298609179032,0.0997999981045723,0.28519999980926514,0.42100000381469727,0.1120000034570694,0.30379998683929443,0.44040000438690186,49.60660171508789,14.0,47.88059997558594,14.0,62435067.0,1555713.0
swin_tiny,all_minilm_l6_v2,swin_tiny local+global,concat_mlp,True,True,0.6624822112955625,0.1151999980211258,0.32679998874664307,0.46700000762939453,0.12860000133514404,0.35440000891685486,0.48579999804496765,42.222599029541016,12.0,41.30160140991211,11.0,51788283.0,1555713.0
swin_tiny,minilm_l6,swin_tiny local+global,concat_mlp,True,True,0.6624822112955625,0.1151999980211258,0.32679998874664307,0.46700000762939453,0.12860000133514404,0.35440000891685486,0.48579999804496765,42.222599029541016,12.0,41.30160140991211,11.0,51788283.0,1555713.0
swin_tiny,distilbert,swin_tiny local+global,concat_mlp,True,True,0.8839926244337347,0.07259999960660934,0.2321999967098236,0.3578000068664551,0.08540000021457672,0.25099998712539673,0.3693999946117401,62.370201110839844,20.0,59.75920104980469,18.0,95634555.0,1752321.0
