vision_encoder,text_encoder,variant,use_local_blf,use_global_blf,fusion_type,selection_metric,best_epoch,seed,batch_size,run_dir,train_loss,i2t_R@1,i2t_R@5,i2t_R@10,mean_rank_i2t,median_rank_i2t,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_t2i,median_rank_t2i,val_loss,logit_scale,params_total,params_trainable,mean_R@1
convnextv2_tiny,all_minilm_l6_v2,global,False,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_all_minilm_l6_v2_global,0.5337996991495302,0.1369999945163726,0.3718000054359436,0.5144000053405762,35.187198638916016,10.0,0.1495999991893768,0.3801999986171722,0.527999997138977,36.12519836425781,9.0,0.5865654172022131,18.655441284179688,52061857.0,1482145.0,0.1432999968528747
convnextv2_tiny,all_minilm_l6_v2,local,True,False,concat_mlp,i2t_R@1,3,unknown,unknown,checkpoints/convnextv2_tiny_all_minilm_l6_v2_local,0.3409187477744366,0.1420000046491623,0.3686000108718872,0.510200023651123,36.95880126953125,10.0,0.1508000046014785,0.3991999924182892,0.5356000065803528,36.4546012878418,9.0,0.583934253341035,21.494497299194336,52033121.0,1453409.0,0.14640000462532038
convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_all_minilm_l6_v2_local_global,0.5441437502401206,0.1438000053167343,0.3718000054359436,0.5153999924659729,35.519798278808594,10.0,0.1506000012159347,0.3919999897480011,0.5270000100135803,36.1531982421875,9.0,0.5858548181720927,18.53554916381836,52135425.0,1555713.0,0.14720000326633448
convnextv2_tiny,bge_small_en,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_bge_small_en_baseline,0.3549664434772881,0.126800000667572,0.3526000082492828,0.4925999939441681,36.41519927978516,11.0,0.1387999951839447,0.3716000020503998,0.5080000162124634,36.89540100097656,10.0,0.6055225958175297,18.93376350402832,62606337.0,1379841.0,0.13279999792575836
convnextv2_tiny,bge_small_en,global,False,True,concat_mlp,i2t_R@1,3,unknown,unknown,checkpoints/convnextv2_tiny_bge_small_en_global,0.0558592233409689,0.1208000034093856,0.3253999948501587,0.4643999934196472,38.94900131225586,12.0,0.1324000060558319,0.3499999940395355,0.4873999953269958,38.76119995117188,11.0,0.6537031678459312,20.87333297729492,62708641.0,1482145.0,0.12660000473260874
convnextv2_tiny,bge_small_en,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_bge_small_en_local,0.4338906537771644,0.1283999979496002,0.3616000115871429,0.5034000277519226,35.78779983520508,10.0,0.1439999938011169,0.3722000122070312,0.5113999843597412,36.46440124511719,10.0,0.5985147534291956,18.97811508178711,62679905.0,1453409.0,0.13619999587535853
convnextv2_tiny,bge_small_en,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_bge_small_en_local_global,0.8255939638214926,0.1278000026941299,0.3422000110149383,0.4778000116348266,38.98600006103516,11.0,0.1324000060558319,0.3562000095844269,0.4916000068187713,38.80379867553711,11.0,0.6420749866321117,16.43797492980957,62782209.0,1555713.0,0.1301000043749809
convnextv2_tiny,distilbert,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_distilbert_baseline,0.1016870602278322,0.096000000834465,0.2666000127792358,0.397599995136261,45.79100036621094,17.0,0.1092000007629394,0.2953999936580658,0.4214000105857849,46.7494010925293,15.0,0.7525538134423992,18.850772857666016,95805825.0,1576449.0,0.1026000007987022
convnextv2_tiny,distilbert,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_distilbert_global,0.8100977139441692,0.089599996805191,0.2702000141143799,0.3989999890327453,50.31760025024414,16.0,0.1107999980449676,0.2994000017642975,0.4171999990940094,48.54520034790039,15.0,0.7646020843258386,16.784530639648438,95908129.0,1678753.0,0.10019999742507929
convnextv2_tiny,distilbert,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_distilbert_local,0.9586807323056598,0.099600002169609,0.2791999876499176,0.421999990940094,42.25339889526367,15.0,0.1099999994039535,0.3037999868392944,0.4363999962806701,45.60480117797852,14.0,0.7156042022795617,16.458797454833984,95879393.0,1650017.0,0.10480000078678126
convnextv2_tiny,distilbert,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_distilbert_local_global,0.8668278021029745,0.0923999994993209,0.2691999971866607,0.4079999923706054,48.13140106201172,16.0,0.101400002837181,0.2831999957561493,0.4196000099182129,49.37960052490234,15.0,0.761928173277197,16.758750915527344,95981697.0,1752321.0,0.09690000116825095
convnextv2_tiny,e5_small_v2,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_e5_small_v2_baseline,0.8330998697543286,0.1190000027418136,0.3230000138282776,0.4648000001907348,39.450801849365234,12.0,0.123999997973442,0.3483999967575073,0.4824000000953674,39.59120178222656,11.0,0.6531177425309073,16.519182205200195,62606337.0,1379841.0,0.1215000003576278
convnextv2_tiny,e5_small_v2,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_e5_small_v2_global,0.8310066147824763,0.1199999973177909,0.3416000008583069,0.4765999913215637,36.891998291015625,12.0,0.1337999999523162,0.3494000136852264,0.4844000041484833,38.32540130615234,11.0,0.6350770688886884,16.538009643554688,62708641.0,1482145.0,0.12689999863505355
convnextv2_tiny,e5_small_v2,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/convnextv2_tiny_e5_small_v2_local,0.1780689102786418,0.1255999952554702,0.3314000070095062,0.4715999960899353,38.7942008972168,12.0,0.1309999972581863,0.3479999899864197,0.4857999980449676,39.61819839477539,11.0,0.6412519056208527,18.751808166503903,62679905.0,1453409.0,0.12829999625682825
convnextv2_tiny,e5_small_v2,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/convnextv2_tiny_e5_small_v2_local_global,0.8448887988723505,0.1246000006794929,0.3436000049114227,0.4824000000953674,37.76499938964844,11.0,0.1324000060558319,0.3495999872684479,0.4918000102043152,38.9286003112793,11.0,0.6343545797693578,16.409046173095703,62782209.0,1555713.0,0.1285000033676624
dinov2_vits14,all_minilm_l6_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/dinov2_vits14_all_minilm_l6_v2_baseline,0.5657756177636982,0.1444000005722046,0.3806000053882599,0.5278000235557556,35.87419891357422,9.0,0.149399995803833,0.3939999938011169,0.5415999889373779,34.61220169067383,9.0,0.5699323314371743,18.437889099121094,45953025.0,1183233.0,0.1468999981880188
dinov2_vits14,all_minilm_l6_v2,global,False,True,concat_mlp,i2t_R@1,3,unknown,unknown,checkpoints/dinov2_vits14_all_minilm_l6_v2_global,0.2697412803438691,0.1454000025987625,0.3745999932289123,0.5144000053405762,37.95700073242188,10.0,0.1516000032424926,0.3941999971866607,0.5418000221252441,35.67060089111328,9.0,0.5897306955973559,21.470046997070312,46055329.0,1285537.0,0.14850000292062754
dinov2_vits14,all_minilm_l6_v2,local,True,False,concat_mlp,i2t_R@1,3,unknown,unknown,checkpoints/dinov2_vits14_all_minilm_l6_v2_local,0.3678597915872806,0.1513999998569488,0.3871999979019165,0.5275999903678894,33.97779846191406,9.0,0.1542000025510788,0.4045999944210052,0.5406000018119812,33.12699890136719,9.0,0.5560891635338717,21.43662643432617,46026593.0,1256801.0,0.1528000012040138
dinov2_vits14,all_minilm_l6_v2,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/dinov2_vits14_all_minilm_l6_v2_local_global,0.5440565475568441,0.1477999985218048,0.3808000087738037,0.5284000039100647,35.52220153808594,9.0,0.1597999930381775,0.399399995803833,0.5406000018119812,34.447200775146484,9.0,0.5678642237488227,18.585668563842773,46128897.0,1359105.0,0.15379999577999115
dinov2_vits14,bge_small_en,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/dinov2_vits14_bge_small_en_baseline,0.3866555590319546,0.1327999979257583,0.3605999946594238,0.5054000020027161,36.715599060058594,10.0,0.1451999992132187,0.3867999911308288,0.5288000106811523,35.2859992980957,9.0,0.5949701813957359,18.94687843322754,56599809.0,1183233.0,0.1389999985694885
dinov2_vits14,bge_small_en,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_bge_small_en_global,0.8606381239505508,0.1280000060796737,0.3472000062465668,0.493800014257431,38.82820129394531,11.0,0.1366000026464462,0.3648000061511993,0.5073999762535095,37.68259811401367,10.0,0.623931223078619,16.38302230834961,56702113.0,1285537.0,0.13230000436305994
dinov2_vits14,bge_small_en,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/dinov2_vits14_bge_small_en_local,0.4521531778734767,0.1431999951601028,0.3734000027179718,0.515999972820282,34.51900100708008,10.0,0.1509999930858612,0.3928000032901764,0.5356000065803528,33.617000579833984,9.0,0.5735817164937153,18.917972564697266,56673377.0,1256801.0,0.147099994122982
dinov2_vits14,bge_small_en,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_bge_small_en_local_global,0.8601120967415941,0.1342000067234039,0.365200012922287,0.5016000270843506,36.9286003112793,10.0,0.1423999965190887,0.3741999864578247,0.5121999979019165,35.084800720214844,10.0,0.6114492079691042,16.34386444091797,56775681.0,1359105.0,0.13830000162124628
dinov2_vits14,distilbert,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_distilbert_baseline,0.9755385002779148,0.1103999987244606,0.3082000017166137,0.44200000166893,46.09099960327149,14.0,0.1114000007510185,0.323199987411499,0.4580000042915344,47.30500030517578,13.0,0.7106325958348527,16.466585159301758,89799297.0,1379841.0,0.11089999973773955
dinov2_vits14,distilbert,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_distilbert_global,0.9578523812115418,0.1040000021457672,0.3091999888420105,0.4388000071048736,46.78279876708984,14.0,0.1085999980568885,0.3246000111103058,0.4550000131130218,48.095001220703125,13.0,0.731425163677976,16.60233497619629,89901601.0,1482145.0,0.10630000010132784
dinov2_vits14,distilbert,local,True,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_distilbert_local,0.950695452447064,0.1033999994397163,0.3077999949455261,0.4429999887943268,45.982200622558594,13.0,0.1133999973535537,0.3240000009536743,0.4562000036239624,45.21820068359375,13.0,0.7142940966200225,16.600008010864258,89872865.0,1453409.0,0.108399998396635
dinov2_vits14,distilbert,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_distilbert_local_global,0.8764233822723283,0.1062000021338462,0.3003999888896942,0.4375999867916107,47.58300018310547,14.0,0.1155999973416328,0.3188000023365021,0.4521999955177307,45.74100112915039,13.0,0.7273275003403048,16.767101287841797,89975169.0,1555713.0,0.11089999973773951
dinov2_vits14,e5_small_v2,baseline,False,False,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_e5_small_v2_baseline,0.858127396434884,0.1202000007033348,0.3438000082969665,0.4869999885559082,39.06999969482422,11.0,0.1291999965906143,0.3531999886035919,0.4903999865055084,39.36660003662109,11.0,0.6471641042470178,16.5283260345459,56599809.0,1183233.0,0.12469999864697454
dinov2_vits14,e5_small_v2,global,False,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_e5_small_v2_global,0.8685799113612294,0.1257999986410141,0.3481999933719635,0.4867999851703644,38.21939849853516,11.0,0.1425999999046325,0.3594000041484833,0.4941999912261963,37.46720123291016,11.0,0.6343187523793571,16.41765022277832,56702113.0,1285537.0,0.1341999992728233
dinov2_vits14,e5_small_v2,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/dinov2_vits14_e5_small_v2_local,0.2423989372589842,0.1281999945640564,0.3440000116825104,0.4867999851703644,37.539798736572266,11.0,0.1327999979257583,0.3574000000953674,0.498199999332428,36.48379898071289,11.0,0.6233066716526128,18.759855270385746,56673377.0,1256801.0,0.13049999624490735
dinov2_vits14,e5_small_v2,local_global,True,True,concat_mlp,i2t_R@1,1,unknown,unknown,checkpoints/dinov2_vits14_e5_small_v2_local_global,0.8632610107577124,0.1312000006437301,0.3628000020980835,0.4973999857902527,37.19260025024414,11.0,0.1387999951839447,0.3682000041007995,0.5103999972343445,36.21580123901367,10.0,0.6203577954180634,16.39289665222168,56775681.0,1359105.0,0.1349999979138374
efficientnet_b0,all_minilm_l6_v2,baseline,False,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_all_minilm_l6_v2_baseline,0.7411269349639902,0.0916000008583068,0.2840000092983246,0.4115999937057495,54.258399963378906,15.0,0.0952000021934509,0.2874000072479248,0.4280000030994415,50.292999267578125,15.0,0.7815034891231151,18.55482482910156,28362749.0,1641985.0,0.09340000152587885
efficientnet_b0,all_minilm_l6_v2,global,False,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_all_minilm_l6_v2_global,0.7390233388119224,0.1044000014662742,0.2953999936580658,0.4305999875068664,54.27299880981445,15.0,0.1063999980688095,0.2984000146389007,0.4282000064849853,51.2411994934082,15.0,0.777977142813085,18.53277587890625,28465053.0,1744289.0,0.10539999976754186
efficientnet_b0,all_minilm_l6_v2,local,True,False,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_all_minilm_l6_v2_local,0.670870759024241,0.0956000015139579,0.2870000004768371,0.4151999950408935,54.99440002441406,15.0,0.1033999994397163,0.2984000146389007,0.423799991607666,51.29520034790039,15.0,0.7853200797793232,18.90647315979004,28436317.0,1715553.0,0.0995000004768371
efficientnet_b0,all_minilm_l6_v2,local_global,True,True,concat_mlp,i2t_R@1,2,unknown,unknown,checkpoints/efficientnet_b0_all_minilm_l6_v2_local_global,0.6769334223058947,0.099200002849102,0.2851999998092651,0.4147999882698059,53.42900085449219,16.0,0.1048000007867813,0.3000000119209289,0.4246000051498413,49.88740158081055,15.0,0.7690055184066296,18.854463577270508,28538621.0,1817857.0,0.10200000181794165
