comparison,run_name,vision_encoder,text_encoder,variant,use_local_blf,use_global_blf,seed,batch_size,epochs_requested,selection_metric,best_epoch,completed_epoch,stopped_early,val_loss,i2t_R@1,i2t_R@5,i2t_R@10,t2i_R@1,t2i_R@5,t2i_R@10,mean_rank_i2t,median_rank_i2t,mean_rank_t2i,median_rank_t2i,num_image_queries,num_text_queries,params_total,params_trainable,coco5_val_loss,coco5_i2t_R@1,coco5_i2t_R@5,coco5_i2t_R@10,coco5_t2i_R@1,coco5_t2i_R@5,coco5_t2i_R@10,coco5_mean_rank_i2t,coco5_median_rank_i2t,coco5_mean_rank_t2i,coco5_median_rank_t2i,coco5_num_image_queries,coco5_num_text_queries,best_checkpoint
convnextv2_minilm_local_global,convnextv2_minilm_local_global_baseline_seed42,convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,42,64,5,i2t_R@1,2,4,True,0.5923873427547987,0.13359999656677246,0.36399999260902405,0.5009999871253967,0.15199999511241913,0.3783999979496002,0.5167999863624573,35.58000183105469,10.0,36.529598236083984,10.0,5000.0,5000.0,51959553.0,1379841.0,nan,0.17000000178813934,0.41999998688697815,0.5669999718666077,0.1502358615398407,0.3875029981136322,0.5280243158340454,28.9955997467041,8.0,34.116214752197266,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_baseline_seed42/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_baseline_seed43,convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,43,64,5,i2t_R@1,2,4,True,0.5809287426969673,0.14180000126361847,0.3709999918937683,0.5073999762535095,0.15299999713897705,0.38659998774528503,0.5296000242233276,34.44580078125,10.0,36.08539962768555,9.0,5000.0,5000.0,51959553.0,1379841.0,nan,0.18619999289512634,0.4413999915122986,0.578000009059906,0.15315423905849457,0.39405933022499084,0.5370992422103882,27.744600296020508,7.0,33.73270797729492,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_baseline_seed43/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_baseline_seed44,convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,44,64,5,i2t_R@1,2,4,True,0.5931439475168155,0.13979999721050262,0.35920000076293945,0.5113999843597412,0.15119999647140503,0.37959998846054077,0.5267999768257141,36.097198486328125,10.0,37.10459899902344,9.0,5000.0,5000.0,51959553.0,1379841.0,nan,0.17880000174045563,0.423799991607666,0.5709999799728394,0.15407371520996094,0.39317983388900757,0.5350204110145569,28.513599395751953,8.0,34.62860870361328,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_baseline_seed44/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_baseline_seed45,convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,45,64,5,i2t_R@1,2,4,True,0.5912690223017826,0.13459999859333038,0.3617999851703644,0.5027999877929688,0.14300000667572021,0.3792000114917755,0.5210000276565552,35.73059844970703,10.0,35.91680145263672,10.0,5000.0,5000.0,51959553.0,1379841.0,nan,0.16840000450611115,0.41659998893737793,0.5640000104904175,0.14927640557289124,0.38914206624031067,0.5349404215812683,28.82040023803711,8.0,33.427162170410156,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_baseline_seed45/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_baseline_seed46,convnextv2_tiny,all_minilm_l6_v2,baseline,False,False,46,64,5,i2t_R@1,4,5,False,0.584138185115932,0.1459999978542328,0.37779998779296875,0.5194000005722046,0.14880000054836273,0.39739999175071716,0.5436000227928162,34.539798736572266,9.0,34.4286003112793,9.0,5000.0,5000.0,51959553.0,1379841.0,nan,0.18320000171661377,0.44620001316070557,0.5884000062942505,0.1604701429605484,0.40289437770843506,0.5489326119422913,26.99959945678711,7.0,32.44415283203125,8.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_baseline_seed46/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_local_global_seed42,convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,42,64,5,i2t_R@1,2,4,True,0.5858548181720927,0.14380000531673431,0.3718000054359436,0.5153999924659729,0.15060000121593475,0.3919999897480011,0.5270000100135803,35.519798278808594,10.0,36.1531982421875,9.0,5000.0,5000.0,52135425.0,1555713.0,nan,0.18299999833106995,0.43619999289512634,0.5767999887466431,0.15479332208633423,0.3957383930683136,0.5383385419845581,28.31800079345703,8.0,33.266212463378906,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_local_global_seed42/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_local_global_seed43,convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,43,64,5,i2t_R@1,2,4,True,0.5774581553060797,0.1371999979019165,0.3702000081539154,0.5202000141143799,0.14740000665187836,0.387800008058548,0.532800018787384,35.453399658203125,10.0,35.13059997558594,9.0,5000.0,5000.0,52135425.0,1555713.0,nan,0.186599999666214,0.4300000071525574,0.579200029373169,0.15599264204502106,0.3958183526992798,0.5376189351081848,26.327199935913086,8.0,32.827457427978516,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_local_global_seed43/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_local_global_seed44,convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,44,64,5,i2t_R@1,3,5,False,0.5736154268814039,0.14319999516010284,0.3736000061035156,0.5199999809265137,0.15919999778270721,0.4047999978065491,0.5428000092506409,33.84640121459961,10.0,34.19879913330078,9.0,5000.0,5000.0,52135425.0,1555713.0,nan,0.1762000024318695,0.44040000438690186,0.5788000226020813,0.16206924617290497,0.4094507098197937,0.5484928488731384,26.602399826049805,7.0,32.42652130126953,8.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_local_global_seed44/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_local_global_seed45,convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,45,64,5,i2t_R@1,2,4,True,0.5804774153836166,0.1412000060081482,0.36480000615119934,0.5162000060081482,0.1565999984741211,0.39160001277923584,0.526199996471405,36.27539825439453,10.0,37.07899856567383,9.0,5000.0,5000.0,52135425.0,1555713.0,nan,0.18780000507831573,0.4318000078201294,0.5763999819755554,0.15927080810070038,0.398456871509552,0.5353801846504211,28.50860023498535,7.0,33.481651306152344,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_local_global_seed45/best.pt
convnextv2_minilm_local_global,convnextv2_minilm_local_global_local_global_seed46,convnextv2_tiny,all_minilm_l6_v2,local_global,True,True,46,64,5,i2t_R@1,2,4,True,0.5791562244861941,0.13379999995231628,0.36820000410079956,0.5112000107765198,0.1412000060081482,0.3882000148296356,0.5314000248908997,35.15620040893555,10.0,34.69559860229492,9.0,5000.0,5000.0,52135425.0,1555713.0,nan,0.1770000010728836,0.43639999628067017,0.5763999819755554,0.15099544823169708,0.3934996426105499,0.536499559879303,29.105600357055664,7.0,33.140682220458984,9.0,5000.0,25014.0,checkpoints/seed_sweep/convnextv2_minilm_local_global_local_global_seed46/best.pt
