config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
convnextv2_tiny__all_minilm_l6_v2__baseline,convnextv2_tiny,all_minilm_l6_v2,baseline,cifar100,0.29789999127388,1.0,1.0,0.0,0.0
convnextv2_tiny__all_minilm_l6_v2__local_global,convnextv2_tiny,all_minilm_l6_v2,local_global,cifar100,0.2930000126361847,0.9835515985860153,2.0,0.0048999786376953125,0.016448401413984737
convnextv2_tiny__bge_small_en__baseline,convnextv2_tiny,bge_small_en,baseline,cifar100,0.2849000096321106,0.9563612553790992,4.0,0.01299998164176941,0.04363874462090078
convnextv2_tiny__distilbert__baseline,convnextv2_tiny,distilbert,baseline,cifar100,0.2486000061035156,0.8345082691693014,13.0,0.04929998517036441,0.16549173083069857
dinov2_vits14__all_minilm_l6_v2__baseline,dinov2_vits14,all_minilm_l6_v2,baseline,cifar100,0.2610000073909759,0.8761329809876383,12.0,0.03689998388290411,0.12386701901236175
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,cifar100,0.2851000130176544,0.9570326329937429,3.0,0.012799978256225586,0.04296736700625714
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,cifar100,0.26460000872612,0.88821757796849,8.0,0.03329998254776001,0.11178242203151001
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,cifar100,0.2653000056743622,0.8905673495990593,7.0,0.03259998559951782,0.10943265040094075
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,cifar100,0.2614000141620636,0.8774757362169257,11.0,0.036499977111816406,0.12252426378307435
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,cifar100,0.2457000017166137,0.8247734438190188,14.0,0.05219998955726632,0.17522655618098115
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,cifar100,0.2635000050067901,0.8845250511086332,10.0,0.0343999862670899,0.11547494889136678
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,cifar100,0.1878000050783157,0.6304129257447953,19.0,0.1100999861955643,0.36958707425520465
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,cifar100,0.1811999976634979,0.6082578146063397,20.0,0.11669999361038211,0.39174218539366035
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,cifar100,0.1685999929904937,0.5659617251733589,22.0,0.1292999982833863,0.43403827482664115
