config_id,vision_encoder,text_encoder,variant,cifar100_zeroshot__balanced_accuracy,cifar100_zeroshot__classification_margin,cifar100_zeroshot__macro_f1,cifar100_zeroshot__mean_confidence,cifar100_zeroshot__top1_accuracy,cifar100_zeroshot__top1_margin,cifar100_zeroshot__top5_accuracy,coco_retrieval__coco5_i2t_R@1,coco_retrieval__coco5_i2t_R@10,coco_retrieval__coco5_i2t_R@5,coco_retrieval__coco5_mean_rank_i2t,coco_retrieval__coco5_mean_rank_t2i,coco_retrieval__coco5_median_rank_i2t,coco_retrieval__coco5_median_rank_t2i,coco_retrieval__coco5_num_image_queries,coco_retrieval__coco5_num_text_queries,coco_retrieval__coco5_t2i_R@1,coco_retrieval__coco5_t2i_R@10,coco_retrieval__coco5_t2i_R@5,eurosat_zeroshot__balanced_accuracy,eurosat_zeroshot__classification_margin,eurosat_zeroshot__macro_f1,eurosat_zeroshot__mean_confidence,eurosat_zeroshot__top1_accuracy,eurosat_zeroshot__top1_margin,eurosat_zeroshot__top5_accuracy,pets_zeroshot__balanced_accuracy,pets_zeroshot__classification_margin,pets_zeroshot__macro_f1,pets_zeroshot__mean_confidence,pets_zeroshot__top1_accuracy,pets_zeroshot__top1_margin,pets_zeroshot__top5_accuracy
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,0.2645999999999999,-0.0768716186285018,0.2292760033578377,0.4243253767490387,0.26460000872612,0.2759110927581787,0.5196999907493591,0.1951999962329864,0.5950000286102295,0.4555999934673309,25.08699989318848,30.959861755371094,7.0,8.0,5000.0,25014.0,0.1604701429605484,0.5450947284698486,0.4093307852745056,0.2044444444444444,-0.2831067740917206,0.1659021516583697,0.5097039341926575,0.1967901289463043,0.3129827380180359,0.5945678949356079,0.0423186344238975,-0.2351542115211486,0.0271973279844129,0.278694599866867,0.0421195663511753,0.1215119808912277,0.2323369532823562
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,0.2653000000000001,-0.0462285950779914,0.2344079188231072,0.3608278334140777,0.2653000056743622,0.2268199175596237,0.4867999851703644,0.1736000031232834,0.5514000058174133,0.4113999903202057,30.292200088500977,34.142921447753906,8.0,9.0,5000.0,25014.0,0.1506756246089935,0.5285840034484863,0.3891820609569549,0.2200444444444444,-0.2589337527751922,0.1622953670949183,0.5499228239059448,0.2227160483598709,0.3567807376384735,0.7516049146652222,0.0689900426742532,-0.2085038870573043,0.0318011586573043,0.2718685269355774,0.0692934766411781,0.1193684265017509,0.2948369681835174
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,0.2613999999999999,-0.0558213740587234,0.2408859565691404,0.3617395162582397,0.2614000141620636,0.2213963866233825,0.4984999895095825,0.1824000030755996,0.5803999900817871,0.4413999915122986,26.14080047607422,32.55748748779297,7.0,9.0,5000.0,25014.0,0.154113695025444,0.5359398722648621,0.3986967206001282,0.2071777777777777,-0.252954751253128,0.1623840553144087,0.5088581442832947,0.2138271629810333,0.3000091314315796,0.6419752836227417,0.0501422475106685,-0.1784161031246185,0.0374427263014011,0.2264492064714431,0.050271738320589,0.0775991082191467,0.24048912525177
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,0.2457,-0.0491172261536121,0.2217329004320673,0.2719964385032654,0.2457000017166137,0.1492126584053039,0.5041999816894531,0.1324000060558319,0.4970000088214874,0.354200005531311,34.848201751708984,45.239105224609375,11.0,13.0,5000.0,25014.0,0.110458143055439,0.4519469141960144,0.3182617723941803,0.1836,-0.2281538397073745,0.1511411390467896,0.4368415176868438,0.1802469193935394,0.2328770011663437,0.6962962746620178,0.0378378378378378,-0.1746330261230468,0.0185113082631323,0.2129599303007125,0.0380434766411781,0.0596309341490268,0.1902173906564712
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,0.2635,-0.0385255478322505,0.2356788198952253,0.3147509098052978,0.2635000050067901,0.1929942667484283,0.5175999999046326,0.1622000038623809,0.5353999733924866,0.401199996471405,32.649200439453125,38.37227249145508,9.0,11.0,5000.0,25014.0,0.1341648697853088,0.495002806186676,0.3575997352600097,0.1921555555555555,-0.2358898818492889,0.162442636302579,0.4633092880249023,0.1970370411872863,0.2421603798866272,0.6819753050804138,0.0730440967283072,-0.2029555588960647,0.032879641363059,0.2674240171909332,0.073369562625885,0.1115454584360122,0.2228260934352874
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,0.1877999999999999,-0.1371602863073349,0.155395694601091,0.3643271625041961,0.1878000050783157,0.22774438560009,0.4257000088691711,0.1164000034332275,0.4555999934673309,0.324999988079071,53.93280029296875,48.4301986694336,13.0,15.0,5000.0,25014.0,0.098424881696701,0.4278004169464111,0.2955944538116455,0.145,-0.3293932676315307,0.1293947644333839,0.5270001888275146,0.1439506113529205,0.3123580515384674,0.6172839403152466,0.0460881934566145,-0.2193271815776825,0.0313952934523786,0.2588037252426147,0.0461956523358821,0.1127997264266014,0.1820652186870575
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,0.1812,-0.0942763686180114,0.1589631576306359,0.2774394750595093,0.1811999976634979,0.1586373597383499,0.3925000131130218,0.1077999994158744,0.4212000072002411,0.2942000031471252,59.38399887084961,53.0257453918457,15.0,17.0,5000.0,25014.0,0.0901095420122146,0.3903014361858368,0.2679299712181091,0.1706444444444444,-0.3087176084518432,0.1453839046275064,0.5394707322120667,0.1728395074605941,0.3337184190750122,0.6728395223617554,0.0582503556187766,-0.1319713592529297,0.0442324554433241,0.1803286522626876,0.0584239140152931,0.0547297298908233,0.2690217494964599
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,0.1685999999999999,-0.1288643330335617,0.1276669397993067,0.3013871312141418,0.1685999929904937,0.1717612594366073,0.4242999851703644,0.068400003015995,0.3172000050544739,0.202000007033348,88.03199768066406,71.72119903564453,26.0,26.0,5000.0,25014.0,0.0594067312777042,0.2999520301818847,0.1935316175222396,0.1808,-0.3073005974292755,0.1250799709857495,0.5491428971290588,0.1864197552204132,0.3473541736602783,0.6511111259460449,0.0216927453769559,-0.2160018235445022,0.0075239509123521,0.2519496381282806,0.0217391308397054,0.0921823009848594,0.167119562625885
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,0.1777999999999999,-0.0895468965172767,0.1532138047492956,0.2585940062999725,0.1777999997138977,0.1409098505973816,0.4115999937057495,0.0997999981045723,0.3880000114440918,0.2793999910354614,70.32499694824219,57.453704833984375,18.0,20.0,5000.0,25014.0,0.0812345072627067,0.3572799265384674,0.2410650104284286,0.1793555555555555,-0.3395487070083618,0.1283219128255979,0.6294944882392883,0.185679018497467,0.4634627103805542,0.663209855556488,0.031081081081081,-0.167984664440155,0.0167363637478949,0.206580638885498,0.03125,0.0871529355645179,0.229619562625885
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,0.2098999999999999,-0.0848414301872253,0.1891593866537495,0.3260028660297394,0.2099000066518783,0.2033186852931976,0.4138000011444092,0.1449999958276748,0.510200023651123,0.3736000061035156,36.465599060058594,39.39002227783203,10.0,11.0,5000.0,25014.0,0.1252898424863815,0.4821300208568573,0.3465259373188019,0.1374444444444444,-0.3237757086753845,0.1278104460774192,0.4988801777362823,0.1365432143211364,0.2906451225280761,0.6288889050483704,0.0653627311522048,-0.2519984841346741,0.0469943191703915,0.3013589680194855,0.0652173906564712,0.1594450324773788,0.2010869532823562
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,0.1978,-0.0761904269456863,0.1754218362383537,0.2931009232997894,0.1977999955415725,0.1737348139286041,0.400299996137619,0.1342000067234039,0.4776000082492828,0.3382000029087066,42.32080078125,42.11609649658203,12.0,13.0,5000.0,25014.0,0.1116574704647064,0.4473894536495209,0.3147037625312805,0.1779777777777777,-0.288036048412323,0.1555564308706437,0.5299417972564697,0.1797530800104141,0.3227224051952362,0.6716049313545227,0.0621621621621621,-0.1772746592760086,0.0234022735996725,0.2322961986064911,0.0625,0.0870861560106277,0.1847826093435287
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,0.1669,-0.094719760119915,0.1594310132023494,0.2487910687923431,0.1668999940156936,0.1346650868654251,0.3944999873638153,0.101000003516674,0.4079999923706054,0.2899999916553497,51.18880081176758,54.6536750793457,16.0,18.0,5000.0,25014.0,0.0852722451090812,0.3801870942115783,0.2584552764892578,0.1234,-0.2847008109092712,0.1084864274681195,0.4415380358695984,0.1246913596987724,0.2224438488483429,0.6064197421073914,0.0405405405405405,-0.1685938388109207,0.0228761602101793,0.2121796011924743,0.0407608710229396,0.0701746493577957,0.1684782654047012
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,0.1903,-0.0766256526112556,0.1753445546985649,0.2655625939369201,0.1903000026941299,0.1537573933601379,0.3962999880313873,0.125,0.4532000124454498,0.3312000036239624,45.24359893798828,45.32465744018555,13.0,15.0,5000.0,25014.0,0.1043815463781356,0.4231230616569519,0.2971535921096802,0.195,-0.3292093276977539,0.1407870187165427,0.58627849817276,0.1943209916353225,0.3952851295471191,0.6172839403152466,0.0554054054054054,-0.157852366566658,0.0258391470481692,0.1991801410913467,0.0557065233588218,0.067203365266323,0.1942934840917587
