arm,seed,pass,global_step,coco_dev_mean_R1,flickr_validation_mean_R1,completed_training
mixed_coco_cc3m,43,20,28620,0.36489152908325195,0.524852067232132,True
mixed_coco_cc3m,43,21,30051,0.36411188542842865,0.5192307829856873,True
mixed_coco_cc3m,43,22,31482,0.36493170261383057,0.5220907330513,True
mixed_coco_cc3m,43,23,32913,0.3647118955850601,0.5181459486484528,True
mixed_coco_cc3m,43,24,34344,0.3647919297218323,0.5175542384386063,True
mixed_coco_cc3m,44,1,1431,0.2547730654478073,0.41410256922245026,True
mixed_coco_cc3m,44,2,2862,0.289787158370018,0.440631166100502,True
mixed_coco_cc3m,44,3,4293,0.30632284283638,0.45897436141967773,True
mixed_coco_cc3m,44,4,5724,0.32290077209472656,0.4764299839735031,True
mixed_coco_cc3m,44,5,7155,0.3290986269712448,0.4987179636955261,True
mixed_coco_cc3m,44,6,8586,0.3338176906108856,0.5035502910614014,True
mixed_coco_cc3m,44,7,10017,0.3436156213283539,0.5177514851093292,True
mixed_coco_cc3m,44,8,11448,0.34875498712062836,0.5266271978616714,True
mixed_coco_cc3m,44,9,12879,0.34895502030849457,0.5154832303524017,True
mixed_coco_cc3m,44,10,14310,0.34455472230911255,0.513905331492424,True
mixed_coco_cc3m,44,11,15741,0.35567349195480347,0.5325443595647812,True
mixed_coco_cc3m,44,12,17172,0.35773302614688873,0.5211045444011688,True
mixed_coco_cc3m,44,13,18603,0.35565315186977386,0.5302761346101761,True
mixed_coco_cc3m,44,14,20034,0.35695283114910126,0.5340236872434616,True
mixed_coco_cc3m,44,15,21465,0.358871728181839,0.5268244594335556,True
mixed_coco_cc3m,44,16,22896,0.3586117923259735,0.5217948853969574,True
mixed_coco_cc3m,44,17,24327,0.36293183267116547,0.5270216912031174,True
mixed_coco_cc3m,44,18,25758,0.3629514276981354,0.5317554175853729,True
mixed_coco_cc3m,44,19,27189,0.36657093465328217,0.5284023582935333,True
mixed_coco_cc3m,44,20,28620,0.36479127407073975,0.5320512801408768,True
mixed_coco_cc3m,44,21,30051,0.3658114820718765,0.5264299660921097,True
mixed_coco_cc3m,44,22,31482,0.3632911890745163,0.52633136510849,True
mixed_coco_cc3m,44,23,32913,0.36451108753681183,0.5256410092115402,True
mixed_coco_cc3m,44,24,34344,0.36439110338687897,0.5252465605735779,True
cc3m_only,42,1,1320,0.18636376410722733,0.3886587768793106,True
cc3m_only,42,2,2640,0.20765883475542068,0.41459566354751587,True
cc3m_only,42,3,3960,0.21729851514101028,0.432248517870903,True
cc3m_only,42,4,5280,0.21115685254335403,0.4457593560218811,True
cc3m_only,42,5,6600,0.22165654599666595,0.4497041404247284,True
cc3m_only,42,6,7920,0.2204563319683075,0.45167653262615204,True
cc3m_only,42,7,9240,0.22723571956157684,0.45887573063373566,True
cc3m_only,42,8,10560,0.23043493181467056,0.4568047374486923,True
cc3m_only,42,9,11880,0.22511524707078934,0.4468441754579544,True
cc3m_only,42,10,13200,0.23289471864700317,0.4647928923368454,True
